Adresa;GPS lat;GPS lon;Městská část;vyska;0.001;0.005;0.01;avgtemp;difftemp
Botanická 43;49.2086044;16.5985422;Veveří;231.3;0.02364089593481281;0.05190108744881891;0.09119146794145676;11.750740026613848;0.013199380688405427
Botanická 52;49.20775310000001;16.599761100000002;Veveří;229.1;0.002881327082100744;0.08074907402331967;0.09831858336510384;13.484176341641682;1.7466356957162397
Botanická 54;49.2078953;16.5996964;Veveří;228.9;0.019293580294616784;0.07628980879568423;0.09763789762355084;13.243830720493747;1.5062900745683052
Botanická 59;49.2111831;16.5968764;Veveří;232.7;0.034927950422954976;0.05054806346424763;0.07233256730328126;13.257293360213303;1.5197527142878613
Botanická 66;49.2090011;16.59903;Veveří;229.9;0.02364089593481281;0.05770806858943851;0.08995678329555198;12.528202560424333;0.7906619144988909
Božetěchova 85a;49.23070560000001;16.5929081;Královo Pole;231.0;0.024861736727514638;0.05197610119782964;0.10878775729258028;11.214241498046169;-0.523299147879273
Bystřinova 12;49.2299456;16.586285;Královo Pole;251.6;0.001044222899565155;0.055070332840618116;0.07084204237618216;11.037828941578267;-0.699711704347175
Bzenecká 18a;49.2045769;16.6570997;Vinohrady;296.2;0.004424981368934553;0.13365823235999633;0.12485799258497413;13.265306907831533;1.5277662619060912
Bzenecká 4a;49.2099422;16.659879399999998;Vinohrady;300.8;0.0;0.2578642931230023;0.117499281605355;12.431906016266463;0.6943653703410213
Cihlářská 30;49.2045914;16.6039297;Veveří;221.8;0.0;0.19897155980082615;0.11969958359244295;15.559396744334386;3.8218560984089436
Cihlářská 38;49.2049622;16.6037006;Veveří;220.8;0.0;0.20223254690571527;0.11524640590448487;13.839692676669069;2.1021520307436266
Čejkovická 8;49.2045514;16.6625836;Vinohrady;288.1;0.0;0.03562252693150367;0.12329775424513095;12.49066035557583;0.7531197096503881
Čeňka Růžičky 7;49.1679092;16.575615300000006;Bohunice;242.1;0.0;0.02251559565064936;0.10794893065916426;11.535490874808996;-0.20204977111644595
Černého 47;49.2137164;16.5231658;Bystrc;259.0;0.27681910260940984;0.5034833225771049;0.5245642896008863;11.711240683285293;-0.026299962640148777
Černého 5a;49.2169517;16.5261858;Bystrc;246.2;0.006434918773946769;0.3619486625011181;0.4506560269009585;11.541125658716927;-0.1964149872085148
Dědická 1a;49.1816906;16.6831911;Slatina;264.7;0.0;0.0058510902261458475;0.012289031170722588;11.49677101469628;-0.24076963122916162
Dědická 37;49.1796981;16.6892064;Slatina;272.1;0.0;0.0058510902261458475;0.003917194619740489;12.406983352854171;0.669442706928729
Došlíkova 31a;49.1953986;16.654475599999998;Juliánov;236.1;0.0;0.08893660188427853;0.05339970453398265;11.47621062418124;-0.26133002174420206
Dřevařská 33;49.2085994;16.6002669;Ponava;226.3;0.02364089593481281;0.08025852854169177;0.09365256641103528;11.831676900505384;0.09413625457994179
Dubová 1a;49.2117183;16.5487519;Jundrov;230.5;0.0;0.3387583491412321;0.4175137243065499;10.507606971535491;-1.229933674389951
Dubová 23a;49.2137381;16.5503375;Jundrov;229.9;0.0;0.256663061502387;0.3009723726377449;12.05614035087764;0.3185997049521987
Dunajská 10;49.1698589;16.5582431;Lískovec;248.5;0.0;0.006101107524012293;0.06005166095567555;12.78944146308389;1.0519008171584474
Dunajská 1a;49.1687014;16.5639972;Lískovec;259.7;0.0;0.027021945202279598;0.0853987309149695;12.143358864847755;0.4058182189223132
Dunajská 47;49.1701331;16.5555864;Lískovec;242.7;0.06177759084069299;0.011620545169121685;0.05805643890842136;13.257743238802387;1.5202025928769451
Elišky Krásnohorské 15;49.1864264;16.6314536;Černovice;200.0;0.0;0.0033431300810416323;0.012263367189499502;10.752631466025806;-0.9849091798996366
Elišky Krásnohorské 22;49.1864264;16.6314536;Černovice;200.0;0.0;0.0033431300810416323;0.012263367189499502;12.41246997120508;0.6749293252796384
Elplova 38;49.2095311;16.6775403;Líšeň;325.5;0.0;0.01456551514770447;0.0966060922066162;11.662192716645308;-0.07534792928013445
Fillova 14;49.2283189;16.6214236;Lesná;282.5;0.5507981671862475;0.5707861846407597;0.3650510558782821;10.293819965377836;-1.4437206805476066
Fleischnerova 1b;49.2179858;16.5112844;Bystrc;302.7;0.0;0.04731149626568562;0.18758776683752093;9.629367338003457;-2.1081733079219855
Foerstrova 1;49.2175222;16.5769981;Žabovřesky;235.2;0.016236483373821855;0.009124927460257672;0.0663276365460562;11.561854185072775;-0.17568646085266693
Foerstrova 3;49.21585220000001;16.5770186;Žabovřesky;228.5;0.06828223323896905;0.012176240243307313;0.06551611083406883;11.848977907445425;0.11143726151998301
Foerstrova 4;49.2166058;16.5778956;Žabovřesky;232.9;0.06077928129945954;0.010782378701191395;0.060172614991066575;11.686195512390027;-0.051345133535415144
Foerstrova 5;49.2160528;16.5771881;Žabovřesky;229.6;0.06828223323896905;0.009925725187576341;0.06440061485885037;11.94089513281152;0.20335448688607727
