latitude,longitude,elevation
49.22057,16.57216,246.9
49.21968,16.57221,243.7
49.22102,16.57134,251.1
49.22037,16.57107,248.8
49.21992,16.57109,247.1
49.21889,16.57355,236.3
49.21914,16.57333,237.6
49.21915,16.57397,237.9
49.21909,16.57271,239.7
49.21938,16.57349,239.1
49.21928,16.57255,240.8
49.18099,16.62421,198.5
49.17852,16.62636,198.6
49.21949,16.58269,258.8
49.21845,16.58309,254.8
49.21748,16.58291,251.3
49.21728,16.58308,250.7
49.21922,16.58126,253.6
49.21843,16.58227,253.9
49.21942,16.58109,254.4
49.21818,16.58249,253.3
49.21962,16.58093,255.3
49.1946,16.60768,223.8
49.21264,16.5838,242.9
49.21278,16.58361,242.2
49.21295,16.58312,240.1
49.21311,16.58264,238.7
49.21348,16.5817,235.5
49.19263,16.60832,226.8
49.20791,16.67674,311.6
49.17826,16.68755,260.7
49.23845,16.5883,239
49.20718,16.59946,230
49.21948,16.50879,307.9
49.21535,16.50619,311.4
49.21675,16.50754,304.8
49.1781,16.55319,322.5
49.21686,16.50392,321.2
49.21889,16.50533,312.7
49.18894,16.60794,201.8
49.17625,16.56028,297.8
49.17586,16.55824,296.9
49.17625,16.55719,300
49.17655,16.55575,299.8
49.1748,16.56013,290.8
49.17452,16.56026,288.9
49.17678,16.55486,300.3
49.17482,16.55851,286.2
49.17501,16.55845,288
49.17576,16.55718,295
49.17697,16.55317,300.5
49.1755,16.55711,291.9
49.17729,16.55304,306.1
49.17704,16.55091,302.6
49.17715,16.55146,305.3
49.17737,16.55096,303.7
49.17611,16.55577,294.7
49.17635,16.55482,294.5
49.17652,16.55326,294.8
49.17624,16.55316,291
49.17643,16.55219,294.2
49.17614,16.55207,291.5
49.17647,16.55098,294.5
49.17674,16.55089,299.4
49.21599,16.50521,317.3
49.1796,16.5478,299
49.17787,16.5475,287.6
49.1782,16.54735,289.6
49.17885,16.54762,292.7
49.17919,16.54778,294.7
49.17433,16.55721,277.5
49.17493,16.55195,272.9
49.17467,16.55641,278.1
49.17497,16.55721,284.1
49.17454,16.55545,274.8
49.17483,16.55532,277.6
49.17523,16.55434,280
49.17527,16.55353,280.9
49.17533,16.55576,284.3
49.17555,16.55483,284.6
49.17552,16.55201,282.9
49.17572,16.55326,286
49.19598,16.62322,201.4
49.22027,16.50823,315.7
